date_hour,avg_compile_time,avg_queue_time,avg_execution_time,avg_cluster_size,total_cached_queries,total_aborted_queries,avg_mbytes_scanned,avg_mbytes_spilled,avg_joins,avg_scans,avg_aggregations,total_queries
20240315 18,1926.0368184029146,330.6478303787967,2094.1246361362796,4.177905660634656,14146,999,5111.716901590929,2555.293210727562,0.3213196544753267,1.1844658969418103,2.1179848809302295,317083
20240315 19,3261.2105381403794,526.9415335224298,3441.205593496309,6.673629552508286,12842,886,6964.934040158814,4611.945123030625,0.5504950836838138,1.2996737798387885,2.178155331427026,173809
20240315 20,3919.1043935438274,862.3095981118469,3964.451609519439,7.380176184124818,13127,970,9529.656927902437,5240.265856565257,0.5724119845276339,1.2806267619484692,2.2205205533337704,152530
20240315 21,3306.9421630366824,669.7829298698286,3370.456898501145,6.630198927765237,16551,1002,11168.21733777992,3439.0126949181245,0.6000985707244948,1.3112109703418084,2.2450526193720464,172465
20240315 22,3457.9667392364877,522.030294186318,3974.6620554128726,7.302508365135213,16092,1039,13204.780738986192,4029.311380505065,0.6312423794329001,1.3402988559420967,2.1235374996757206,154188
20240315 23,2962.26258080036,317.2357134235955,3143.506805160136,7.04397602532157,11258,2385,12237.81124223071,6847.969109536293,0.624647672329942,1.33702049712813,2.1154498789483775,140849
20240316 00,3041.6170725976976,1363.5056307961504,3130.6420017497812,7.052926917237735,14433,4307,8879.188837560101,4907.135916533107,0.6066281714785652,1.2763744531933507,1.993686789151356,142875
20240316 01,2770.593439697381,681.5593556825953,2829.1580118054035,7.260219424341562,18682,5461,9333.56217654658,3904.086084057276,0.685835507838177,1.3122588955507306,2.0852273104528947,150609
20240316 02,3064.6465192452597,237.67239893261254,3260.086432181594,7.249803736850369,14249,5943,11109.917053368763,7237.5740647490375,0.5609231384500817,1.2013556096451006,2.009274135161039,145027
20240316 03,3116.381657082803,220.82137148887682,3186.584286074807,7.0887198868939265,12868,2535,9861.185913010746,5501.983026486893,0.627662259201762,1.3119230975122933,2.0039766600643913,130763
20240316 04,3192.731898087199,340.5773991841574,3311.2808446370345,7.382124984490674,11889,1249,9872.680288480631,3218.03833170507,0.5987691786525894,1.3111846655468826,2.1166033847587054,141694
20240316 05,3225.8690907528608,389.5133719463029,3289.2909575483022,6.663551327847169,22034,1372,8036.7644255000505,2855.8514033091888,0.7324933678839395,1.3706414225658134,2.1563886820092697,162467
20240316 06,2838.699415608496,679.3516750964571,3367.2304591304146,5.966824612468693,16162,1394,6377.240575104436,2200.64605704913,0.6580138759926871,1.3604586113626271,2.101641934795522,173393
20240316 07,3141.514375552717,837.9552935212761,3288.4359472116776,5.92513865121745,20001,1589,9609.083624265015,2232.189829640907,0.6279356447905806,1.3127379766012477,1.8946134482341488,173599
20240316 08,3547.1458952393546,880.2073502384263,3716.6148730876216,6.699804808801349,16470,1644,9596.00525765308,3208.5983897121278,0.5741357043512816,1.233974518180012,2.021185177826346,161056
20240316 09,3539.062679668564,543.8335706809876,3899.0152931958432,6.7349800524035865,14241,1451,7842.123746685187,4437.792069705771,0.5938781462862242,1.3287465184244691,2.058473311257142,174849
20240316 10,3924.608255031264,886.7304448577614,4068.1522944171725,7.214197982161135,16801,1087,9509.246733224156,4027.0245856145375,0.5321889197182669,1.2717931518126657,2.0469433179864014,163985
20240316 11,3714.612749003984,1226.4741781245539,3997.7956491745563,7.21230066115357,12940,987,9393.822841189456,3813.4117841838724,0.6465638232075741,1.3368440458632667,2.162852657119749,168152
20240316 12,3517.43488025453,1101.844314822409,3699.8286275637925,7.266392077074132,12942,1124,8806.263695761434,2921.628118612833,0.62539095733286,1.3349716307281752,2.2340051780806824,163381
20240316 13,3734.6361919885962,450.82305042981545,4149.524537283342,7.213965073440134,17661,1962,7916.097369964247,4510.0899735798375,0.5924285274269874,1.3065158345700445,2.1270965754767173,178565
